Maand,Maand nummer,Verkopen
januari,0,266
februari,1,146
maart,2,183
april,3,119
mei,4,180
juni,5,169
juli,6,232
augustus,7,225
september,8,193
oktober,9,123
november,10,337
december,11,186
januari,12,194
februari,13,150
maart,14,210
april,15,273
mei,16,191
juni,17,287
juli,18,226
augustus,19,304
september,20,290
oktober,21,422
november,22,265
december,23,342
januari,24,340
februari,25,440
maart,26,316
april,27,439
mei,28,401
juni,29,437
juli,30,576
augustus,31,408
september,32,682
oktober,33,475
november,34,581
december,35,647
