Jaar,Uitstoot CO2 (Gigaton)
1975,15.54
1976,16.37
1977,16.93
1978,17.44
1979,17.96
1980,17.78
1981,17.54
1982,17.36
1983,17.47
1984,18.05
1985,18.32
1986,18.65
1987,19.28
1988,19.94
1989,20.33
1990,20.62
1991,20.75
1992,20.7
1993,20.81
1994,20.93
1995,21.48
1996,21.99
1997,22.23
1998,22.38
1999,22.52
2000,23.32
2001,23.58
2002,23.94
2003,24.99
2004,26.18
2005,27.05
2006,27.86
2007,28.78
2008,28.87
2009,28.32
2010,29.84
2011,31.29
2012,31.49
2013,32.07
2014,32.13
2015,32.14
2016,32.1
2017,32.53
2018,33.1
